date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2014-02-21,Pablo Andujar,Tommy Robredo,,,RH,RH,M
2014-02-22,Rafael Nadal,Joao Sousa,,,LH,RH,M
2014-02-22,Rafael Nadal,Pablo Andujar,,,LH,RH,M
2014-02-24,Dudi Sela,Alejandro Falla,,,RH,LH,M
2014-02-25,Jeremy Chardy,Matthew Ebden,,,RH,RH,M
2014-02-25,Kevin Anderson,Stephane Robert,,,RH,RH,M
2014-02-25,Joao Sousa,Adrian Mannarino,,,RH,LH,M
2014-02-25,Ivo Karlovic,John Isner,,,RH,RH,M
2014-02-26,David Ferrer,Mikhail Kukushkin,,,RH,RH,M
2014-02-26,Gilles Simon,Tim Smyczek,,,RH,RH,M
2014-02-26,Grigor Dimitrov,Marinko Matosevic,,,RH,RH,M
2014-02-26,Donald Young,Jarkko Nieminen,,,LH,LH,M
2014-02-26,David Goffin,Lukasz Kubot,,,RH,RH,M
2014-02-26,Andy Murray,Pablo Andujar,,,RH,RH,M
2014-02-26,Kevin Anderson,Sam Querrey,,,RH,RH,M
2014-02-26,Gilles Simon,Donald Young,,,RH,LH,M
2014-02-26,Ivo Karlovic,Dudi Sela,,,RH,RH,M
2014-02-27,David Ferrer,Feliciano Lopez,,,RH,LH,M
2014-02-27,Ernests Gulbis,David Goffin,,,RH,RH,M
2014-02-27,Grigor Dimitrov,Marcos Baghdatis,,,RH,RH,M
2014-02-27,Andy Murray,Joao Sousa,,,RH,RH,M
2014-02-28,Kevin Anderson,David Ferrer,,,RH,RH,M
2014-02-28,Andy Murray,Gilles Simon,,,RH,RH,M
2014-02-28,Grigor Dimitrov,Ernests Gulbis,,,RH,RH,M
2014-03-01,Grigor Dimitrov,Andy Murray,,,RH,RH,M
2014-03-02,Grigor Dimitrov,Kevin Anderson,,,RH,RH,M
2014-02-24,Dmitry Tursunov,Lukas Lacko,,,RH,RH,M
2014-02-24,Andreas Seppi,Florian Mayer,,,RH,RH,M
2014-02-24,Roger Federer,Benjamin Becker,,,RH,RH,M
2014-02-24,Philipp Kohlschreiber,Thiemo De Bakker,,,RH,RH,M
2014-02-25,Mikhail Youzhny,Michal Przysiezny,,,RH,RH,M
2014-02-25,Radek Stepanek,Michael Russell,,,RH,RH,M
2014-02-25,Sergiy Stakhovsky,Ivan Dodig,,,RH,RH,M
2014-02-25,James Ward,Teymuraz Gabashvili,,,RH,RH,M
2014-02-25,Novak Djokovic,Denis Istomin,,,RH,RH,M
2014-02-25,Nikolay Davydenko,Andrey Golubev,,,RH,RH,M
2014-02-26,Malek Jaziri,Somdev Devvarman,,,RH,RH,M
2014-02-26,Philipp Kohlschreiber,Andreas Seppi,,,RH,RH,M
2014-02-26,Lukas Rosol,Dmitry Tursunov,,,RH,RH,M
2014-02-26,Tomas Berdych,Sergiy Stakhovsky,,,RH,RH,M
2014-02-26,Mikhail Youzhny,James Ward,,,RH,RH,M
2014-02-26,Roger Federer,Radek Stepanek,,,RH,RH,M
2014-02-27,Philipp Kohlschreiber,Malek Jaziri,,,RH,RH,M
2014-02-27,Novak Djokovic,Mikhail Youzhny,,,RH,RH,M
2014-02-27,Roger Federer,Lukas Rosol,,,RH,RH,M
2014-02-28,Tomas Berdych,Philipp Kohlschreiber,,,RH,RH,M
2014-02-28,Roger Federer,Novak Djokovic,,,RH,RH,M
2014-03-01,Roger Federer,Tomas Berdych,,,RH,RH,M
2014-02-24,Guido Pella,Leonardo Mayer,,,LH,RH,M
2014-02-24,Joao Souza,Robin Haase,,,RH,RH,M
2014-02-25,Horacio Zeballos,Pablo Cuevas,,,LH,RH,M
2014-02-25,Albert Montanes,Aljaz Bedene,,,RH,RH,M
2014-02-25,Federico Delbonis,Filippo Volandri,,,LH,RH,M
2014-02-25,Paolo Lorenzi,Pere Riba,,,RH,RH,M
2014-02-25,Martin Klizan,Guilherme Clezar,,,LH,RH,M
